,Topic0,Topic1,Topic2,Topic3,Topic4,Topic5,Topic6,Topic7,Topic8,Topic9,Topic10,Topic11,Topic12,Topic13,Topic14,dominant_topic
50343046,0.0,0.18,0.0,0.0,0.01,0.16,0.0,0.35,0.04,0.0,0.1,0.09,0.01,0.02,0.04,7
50377867,0.0,0.0,0.0,0.0,0.0,0.19,0.08,0.07,0.12,0.02,0.01,0.0,0.17,0.0,0.34,14
50395601,0.02,0.0,0.0,0.0,0.0,0.06,0.03,0.27,0.0,0.0,0.0,0.0,0.62,0.0,0.0,12
50434218,0.14,0.0,0.0,0.0,0.0,0.22,0.03,0.47,0.0,0.08,0.0,0.0,0.0,0.0,0.06,7
50588761,0.31,0.02,0.0,0.0,0.0,0.0,0.0,0.42,0.0,0.17,0.0,0.0,0.0,0.06,0.0,7
60637319,0.0,0.0,0.35,0.0,0.0,0.43,0.0,0.12,0.04,0.0,0.0,0.0,0.0,0.0,0.06,5
60646577,0.07,0.01,0.0,0.0,0.0,0.17,0.0,0.0,0.03,0.0,0.0,0.0,0.06,0.64,0.02,13
60646594,0.0,0.0,0.0,0.0,0.57,0.19,0.0,0.08,0.0,0.15,0.0,0.0,0.0,0.0,0.0,4
60646656,0.16,0.0,0.0,0.0,0.0,0.3,0.0,0.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7
60647025,0.07,0.0,0.0,0.0,0.0,0.16,0.0,0.27,0.03,0.0,0.02,0.32,0.0,0.13,0.01,11
60653531,0.01,0.27,0.04,0.0,0.04,0.3,0.0,0.09,0.04,0.0,0.06,0.06,0.0,0.0,0.09,5
60665170,0.43,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.05,0.01,0.0,0.01,0.04,0.35,0.1,0
60726487,0.0,0.06,0.0,0.0,0.0,0.31,0.0,0.07,0.0,0.19,0.02,0.0,0.0,0.19,0.16,5
60862072,0.0,0.01,0.04,0.0,0.0,0.19,0.0,0.07,0.48,0.0,0.0,0.0,0.02,0.05,0.14,8
60932894,0.05,0.0,0.0,0.0,0.0,0.08,0.01,0.71,0.06,0.04,0.0,0.0,0.0,0.01,0.03,7
60939659,0.12,0.0,0.0,0.0,0.0,0.07,0.01,0.03,0.54,0.0,0.0,0.0,0.0,0.23,0.0,8
61008595,0.01,0.03,0.0,0.0,0.0,0.13,0.0,0.06,0.0,0.58,0.0,0.0,0.06,0.12,0.01,9
61027885,0.51,0.0,0.03,0.0,0.0,0.05,0.0,0.1,0.04,0.04,0.04,0.0,0.01,0.01,0.17,0
61043042,0.11,0.05,0.0,0.0,0.0,0.28,0.0,0.01,0.0,0.07,0.02,0.13,0.02,0.31,0.0,13
61048713,0.0,0.02,0.39,0.0,0.0,0.0,0.0,0.34,0.04,0.0,0.0,0.0,0.0,0.17,0.04,2
61057497,0.0,0.0,0.01,0.0,0.09,0.27,0.0,0.54,0.0,0.07,0.0,0.0,0.0,0.0,0.02,7
61130830,0.7,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.02,0.0,0.02,0.0,0.0,0
61144355,0.79,0.06,0.0,0.0,0.0,0.0,0.0,0.09,0.05,0.01,0.0,0.0,0.0,0.0,0.0,0
